image_path,latitude,longitude
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Kuala Lumpur_3_3.1556780700109948_101.60910603529773.jpg,3.1556780700109948,101.60910603529773
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Pretoria_27_-25.843236361277157_28.16467730098971.jpg,-25.843236361277157,28.16467730098971
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Paris_12_48.86242700466241_2.2711412409004232.jpg,48.86242700466241,2.2711412409004232
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Pretoria_30_-25.746676622233892_28.206600137249467.jpg,-25.746676622233892,28.206600137249467
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Hanoi_12_20.852547074565415_105.96599755161748.jpg,20.852547074565415,105.96599755161748
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Mexico City_19_19.516879541693175_-99.01704401893994.jpg,19.516879541693175,-99.01704401893994
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Ottawa_49_45.398610349011996_-75.70796014477675.jpg,45.398610349011996,-75.70796014477675
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Tokyo_38_35.626315638595145_139.68752206063922.jpg,35.626315638595145,139.68752206063922
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/London_19_51.56915012942118_-0.2605119372732631.jpg,51.56915012942118,-0.2605119372732631
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Ottawa_17_45.419804255194144_-75.75416177262592.jpg,45.419804255194144,-75.75416177262592
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Canberra_14_-35.20538793058654_149.0100287067233.jpg,-35.20538793058654,149.0100287067233
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Warsaw_28_52.25319089958164_20.927169592074268.jpg,52.25319089958164,20.927169592074268
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Bangkok_20_13.662624157448276_100.44199862570959.jpg,13.662624157448276,100.44199862570959
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Ottawa_6_45.49058698527335_-75.70908194944988.jpg,45.49058698527335,-75.70908194944988
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Tehran_20_35.801889579441536_51.35843059061286.jpg,35.801889579441536,51.35843059061286
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Pretoria_25_-25.823754478923416_28.156851141940436.jpg,-25.823754478923416,28.156851141940436
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Madrid_45_40.40806155987758_-3.6715509101733237.jpg,40.40806155987758,-3.6715509101733237
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Manila_44_14.590384481198768_120.9708104997815.jpg,14.590384481198768,120.9708104997815
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Mexico City_46_19.401639934991195_-99.13556503792458.jpg,19.401639934991195,-99.13556503792458
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Paris_43_48.8609547522466_2.3246288098000645.jpg,48.8609547522466,2.3246288098000645
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Paris_29_48.86292853788108_2.3273705590751472.jpg,48.86292853788108,2.3273705590751472
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Mexico City_23_19.299944585023663_-99.15032343168392.jpg,19.299944585023663,-99.15032343168392
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Madrid_33_40.443045324180964_-3.6396775591471107.jpg,40.443045324180964,-3.6396775591471107
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Seoul_31_37.57667073655252_126.99036686099907.jpg,37.57667073655252,126.99036686099907
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Riyadh_5_24.768027742392434_46.80820500617952.jpg,24.768027742392434,46.80820500617952
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Caracas_45_10.411986733764358_-66.81748166302582.jpg,10.411986733764358,-66.81748166302582
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Lagos_45_6.624149569431827_3.357424190760155.jpg,6.624149569431827,3.357424190760155
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Tehran_41_35.78155328367974_51.371278908509645.jpg,35.78155328367974,51.371278908509645
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Tokyo_48_35.780933789718574_139.80905806181542.jpg,35.780933789718574,139.80905806181542
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Kuala Lumpur_6_3.099663528020461_101.70900405695495.jpg,3.099663528020461,101.70900405695495
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Cairo_13_29.959873389293474_31.248115431937613.jpg,29.959873389293474,31.248115431937613
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Riyadh_40_24.7270746074875_46.68927056715543.jpg,24.7270746074875,46.68927056715543
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Istanbul_2_40.89370388014932_29.238263114404738.jpg,40.89370388014932,29.238263114404738
/Users/dk/Desktop/Folders/WashU2024/2024 Fall/CSE659A/project/code/project/images/Seoul_8_37.536498970060684_126.89441825535731.jpg,37.536498970060684,126.89441825535731
